Column1,Column2
167,특수학급미설치 소규모 중학교의 통합교육 사례연구
168,중학교 특수학급 교육과정 편성 ㆍ 운영의 실태 및 개선 방안 : 광주광역시와 전라남도 중학교를 중심으로
169,특수교사의 특수교육 기본 교육과정 여가 활용 교과서에 대한 만족도 조사 = The Survey on the Satisfaction of Special Education Teachers with the Leisure Use Textbook of Special Education Fundamental Curriculum
170,"통합교육현장에서 근무하는 특수체육교사의 교직 적응 탐색 : 특수학교 체육교사, 특수교육지원센터 체육교사와 비교하여"
171,장애학생의 공격행동과 관련된 특수교육교사의 스트레스 및 지원 요구 = 장애학생의 공격행동과 관련된 특수교육교사의 스트레스 및 지원 요구
172,COMPARISON STUDY ON THE TREND OF SPECIAL EDUCATION BETWEEN SOUTH KOREA AND NEPAL : 한국과 네팔의 특수교육 현황 비교연구
173,특수체육교육과전공 대학생의 전공만족도에 따른 교육신념 연구 = The Study of Educational Belief of the College Students Majoring Addapted Physical Education According to Their Major Satisfaction
174,『장애인 등에 대한 특수교육법』의 정책 의제 설정 과정에 관한 연구
175,한․중 특수체육 체육과교육과정 비교 = Comparison of special physical education curriculum between Korea and China
176,유치원 특수학급 개별화교육지원팀의 운영 실태 및 유아특수교사의 인식 연구
177,정신지체 특수학교의 부모교육 모형 개발 : 광주ㆍ전남지역 정신지체 특수학교를 중심으로 = (An) educational model for parents of mentally-retarded children at special schools
178,고등학교 특수학급 진로·직업교육의 현황과 개선방안에 대한 탐색적 연구 : 서울 지역 특수학급 교사 면담자료를 중심으로
179,"초등학교 학습장애 선정 조건 및 절차에 관한 인식 연구 : 일반교사, 특수교사, 교육행정가 집단과의 인터뷰 방법을 통하여"
180,실업계 고등학교 특수학생의 직업교육에 관한 연구 = A Study on Vocational Education of Students with disabilities in Industrial High Schools
181,특수교육기관의 전환교육프로그램 실행수준과 연계성에 관한 연구 : 현장 종사자를 중심으로 = A Study on the Performance Level and the Degree of Recognition of Transition Education among Field Practitioners for Students with Intellectual Disabilities
182,특수학급 및 특수학교 학부모의 중학교 방과 후 교육활동에 관한 인식 비교
183,특수교육대상유아 아버지의 가족지원에 대한 경험 : 가족지원에 대한 인식 및 요구를 중심으로
184,특수교육대상학생을 위한 문학 기반 국어교육 실행연구 : 초등 특수학급의 사례를 중심으로 = A Study on Literacy-based Korean language education for students with Special educational needs : Focused on the case of elementary special class
185,특수체육지도자의 스페셜올림픽(Special Olympics) 참여와 교육신념에 관한 연구
186,서울시내 정신지체 특수학교 초등부의 미술교육 현황분석 = Analyzes of current situations in Fine Art Education in curriculum of the special school (for children at 10 to 14) of Mental Retardation inside Seoul city
187,중등 특수학급의 안전교육 운영 실태와 특수교사의 인식
188,특수학교 유치부 역통합교육에 대한 일반유아 가족과 교사의 인식
189,특수교육보조원 활용 실태와 그 효과에 대한 통합학급교사의 인식 및 요구 분석 = The perceptions of General Education Teachers on the efforts and current use of Paraeducators
190,장애유아통합교육에서의 특수교사 협력 현황 및 기대
191,교사의 장애학생 이해 및 특수미술교육에 관한 실태 연구
192,통합교육 내에서 이루어지는 특수교육의 양상에 대한 질적연구 = A Qualitative Study on the Aspect of the Special Education performed in Inclusive Education
193,특수유아를 위한 종교교육 제안 : 비고츠키의 사회관계성 이론을 중심으로
194,정신지체 특수학교 중등부 음악교과교육 운영 실태와 인식 = Conditions of Music Curriculum in Special Schools for the Mentally Retarded
195,한국과 중국의 특수교육법 비교
196,특수교육정책의 영향요인에 관한 연구 = (A)study on the critical variable of special education in Korea
197,일반학급주도 경도장애아 통합교육에 관한 일반교사와 특수교육의 인식 = Regular Education Initiative Integration of Children with Mild Disabilities in the Elementary School : Perceptions and Opinions of General Teachers and Special Education Teachers
198,가족이 참여한 자기결정교수학습모델(SDLMI) 적용이 문제행동을 보이는 중학교 특수학급 학생의 수업참여행동 및 국어과 교육목표 성취도에 미치는 영향 = (The) effect of family-involved sdlmi on the academic engagement behavior and goal achievement of Korean language in middle school students with disabilities who exhibit problem behavior
199,특수 아동의 통합교육을 위한 사회성 기술에 관한 일 연구 : 사회성 행동 평가(SBA)에 대한 초등학교 교사의 견해를 중심으로 = (A) STUDY ON SOCIAL SKILLS FOR MAINSTREAMED SPECIAL CHILDREN
200,유아특수교육기관의 교육평가 실제에 대한 연구 : 교사의 인식을 중심으로 = (A) study on educational evaluation in special preschool education institutes
201,유아특수교육과정 운영에 대한 탐색적 연구 : 교사의 인식을 중심으로 = (An) Exploring Study on implementation of Early Childhood Special Education Program : Based on the recognition of teachers
202,초등 특수교육대상학생의 방과후 특기적성 교육 실태 및 특수교사의 인식
203,바리스타 교육을 활용한 장애학생주도 또래교수가 고등학교 특수학급학생의 자아존중감과 비장애학생의 장애학생 수용태도에 미치는 영향
